Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04940:Type I diabetes mellitus	6	0.011378290222255937	0.0010834371967146342	TNF, CD80, IL12A, LTA, IL2, CD28	131	42	6879	7.501635768811342	0.19316561815731803	0.19316561815731803	1.3473175829491701
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	13	0.024652962148221193	0.002058650037524236	TNF, CCL28, OSM, IL12RB2, GH2, TSLP, CCL13, TNFSF11, IFNB1, IL20RA, IL12A, LTA, IL2	131	243	6879	2.8092545471680332	0.33504296544438106	0.18455102271471402	2.5457482424123157
KEGG_PATHWAY	hsa05134:Legionellosis	6	0.011378290222255937	0.0033627201500107218	TNF, HSF1, PYCARD, IL12A, ITGB2, CD14	131	54	6879	5.8346055979643765	0.4867234968444355	0.19933570636669484	4.127380305485784
KEGG_PATHWAY	hsa05330:Allograft rejection	5	0.009481908518546613	0.004963252868049528	TNF, CD80, IL12A, IL2, CD28	131	37	6879	7.0961419434701885	0.626624596398267	0.21830663396028271	6.036284699583172
KEGG_PATHWAY	hsa04672:Intestinal immune network for IgA production	5	0.009481908518546613	0.011598594510107203	CD80, ICOS, CCL28, IL2, CD28	131	47	6879	5.586324508689297	0.900733170891953	0.3699705799516789	13.582964709884815
KEGG_PATHWAY	hsa05133:Pertussis	6	0.011378290222255937	0.013410523190982373	TNF, PYCARD, IL12A, ITGB2, C2, CD14	131	75	6879	4.200916030534351	0.9309723933864792	0.35952261060466406	15.544527998451386
KEGG_PATHWAY	hsa05146:Amoebiasis	7	0.01327467192596526	0.01485435971834064	MUC2, LAMA1, GNA15, TNF, IL12A, ITGB2, CD14	131	106	6879	3.4677372893561857	0.9483480089892019	0.3451296989222704	17.078180605374303
KEGG_PATHWAY	hsa04630:Jak-STAT signaling pathway	8	0.01517105362967458	0.019632211346771743	OSM, GH2, IL12RB2, TSLP, IL20RA, IFNB1, IL12A, IL2	131	145	6879	2.8971834693340353	0.9802744724902415	0.38782078763531835	21.972428977596447
KEGG_PATHWAY	hsa05332:Graft-versus-host disease	4	0.00758552681483729	0.02380946216806088	TNF, CD80, IL2, CD28	131	33	6879	6.36502428868841	0.9915306601230542	0.4114802221067547	26.032172809611232
KEGG_PATHWAY	hsa04974:Protein digestion and absorption	6	0.011378290222255937	0.025103757863681717	KCNN4, COL13A1, ELN, ATP1A4, CPA3, CPB1	131	88	6879	3.580326162387231	0.9934872789485103	0.39552791761708916	27.25004815468114
KEGG_PATHWAY	hsa04080:Neuroactive ligand-receptor interaction	11	0.020860198740802548	0.0363675128448091	GH2, CALCR, TAAR9, AVPR2, P2RY13, GABRA1, GABRA4, GABRB2, MLNR, GLRA3, NMBR	131	277	6879	2.0852922534240914	0.9993476754223852	0.4866591862633992	37.09598509721936
KEGG_PATHWAY	hsa05033:Nicotine addiction	4	0.00758552681483729	0.03921565856441577	GABRA1, SLC17A6, GABRA4, GABRB2	131	40	6879	5.251145038167939	0.9996369792428021	0.48319391140578627	39.3833033643981
KEGG_PATHWAY	hsa05322:Systemic lupus erythematosus	7	0.01327467192596526	0.0409552141149036	HIST1H2BM, TNF, CD80, HIST1H3A, C2, HIST1H4D, CD28	131	134	6879	2.7431354676996693	0.9997464288000326	0.4710771833645955	40.74241873359671
KEGG_PATHWAY	hsa04742:Taste transduction	4	0.00758552681483729	0.052656066065303764	TAS2R16, TRPM5, ASIC2, TAS1R1	131	45	6879	4.667684478371501	0.9999776889321238	0.5346802842717291	49.18022911983717
KEGG_PATHWAY	hsa05144:Malaria	4	0.00758552681483729	0.06479868771824904	TNF, GYPA, IL12A, ITGB2	131	49	6879	4.286649010749338	0.9999982653522513	0.5870025028152726	56.756000611816695
KEGG_PATHWAY	hsa04064:NF-kappa B signaling pathway	5	0.009481908518546613	0.08190906105927787	CCL13, TNF, TNFSF11, CD14, LTA	131	87	6879	3.0178994472229537	0.9999999551906308	0.6526953869139424	65.67770414349671
KEGG_PATHWAY	hsa05323:Rheumatoid arthritis	5	0.009481908518546613	0.08461407549611402	TNF, TNFSF11, CD80, ITGB2, CD28	131	88	6879	2.983605135322693	0.9999999750174033	0.6428898366641158	66.92187725537858
